datetime,open,high,low,close,volume
2023-04-02 06:00:00,21.015,21.095,20.997,21.064,237952
2023-04-02 07:00:00,21.065,21.306,21.065,21.17,628811
2023-04-02 08:00:00,21.171,21.2,21.003,21.038,392138
2023-04-02 09:00:00,21.038,21.189,21.033,21.136,247634
2023-04-02 10:00:00,21.135,21.152,21.036,21.048,214133
2023-04-02 11:00:00,21.048,21.057,20.958,20.986,251962
2023-04-02 12:00:00,20.986,20.996,20.883,20.919,431165
2023-04-02 13:00:00,20.918,20.919,20.7,20.81,927657
2023-04-02 14:00:00,20.811,20.856,20.734,20.75,394843
2023-04-02 15:00:00,20.75,20.75,20.4,20.57,1361980
2023-04-02 16:00:00,20.571,20.573,20.392,20.56,686146
2023-04-02 17:00:00,20.561,20.662,20.531,20.595,433291
2023-04-02 18:00:00,20.594,20.62,20.515,20.537,212117
2023-04-02 19:00:00,20.536,20.56,20.201,20.335,858417
2023-04-02 20:00:00,20.335,20.446,20.287,20.421,347767
2023-04-02 21:00:00,20.422,20.496,20.36,20.404,253448
2023-04-02 22:00:00,20.403,20.544,20.258,20.542,586592
2023-04-02 23:00:00,20.542,20.57,20.477,20.509,261268
2023-04-03 00:00:00,20.509,20.565,20.363,20.494,441470
2023-04-03 01:00:00,20.494,20.527,19.937,20.107,1195498
2023-04-03 02:00:00,20.106,20.14,20.03,20.073,498033
2023-04-03 03:00:00,20.074,20.104,19.952,20.026,453360
2023-04-03 04:00:00,20.026,20.067,19.977,20.047,341988
2023-04-03 05:00:00,20.048,20.112,20.025,20.075,263616
2023-04-03 06:00:00,20.075,20.151,20.063,20.146,286745
2023-04-03 07:00:00,20.146,20.258,20.132,20.254,524283
2023-04-03 08:00:00,20.254,20.577,20.238,20.485,1287908
2023-04-03 09:00:00,20.485,20.526,20.34,20.396,607680
2023-04-03 10:00:00,20.396,20.475,20.34,20.378,458410
2023-04-03 11:00:00,20.378,20.425,20.321,20.394,323844
2023-04-03 12:00:00,20.393,20.446,20.257,20.375,445392
2023-04-03 13:00:00,20.375,20.599,20.336,20.483,654764
2023-04-03 14:00:00,20.482,20.525,20.102,20.151,838387
2023-04-03 15:00:00,20.15,20.377,20.057,20.306,646067
2023-04-03 16:00:00,20.306,20.362,20.202,20.209,447880
2023-04-03 17:00:00,20.21,20.4,20.134,20.291,756284
2023-04-03 18:00:00,20.291,20.763,20.186,20.63,1746768
2023-04-03 19:00:00,20.63,20.949,20.623,20.891,1359336
2023-04-03 20:00:00,20.891,20.989,20.245,20.337,2037886
2023-04-03 21:00:00,20.338,20.418,20.04,20.38,1181482
2023-04-03 22:00:00,20.38,20.655,20.343,20.444,775727
2023-04-03 23:00:00,20.444,20.58,20.376,20.444,448937
2023-04-04 00:00:00,20.445,20.567,20.273,20.371,505055
2023-04-04 01:00:00,20.372,20.496,20.333,20.422,337899
2023-04-04 02:00:00,20.421,20.526,20.4,20.466,255970
2023-04-04 03:00:00,20.463,20.507,20.401,20.406,197830
